t0_date,p0_date,event,duration_days,potential_followup_days,p1_date
2017-05-09,2017-04-27,0,526.309907,526.309907,
2018-01-19,2018-01-04,0,271.001146,271.001146,
2018-03-27,2018-03-11,0,204.181586,204.181586,
2017-12-01,2017-11-25,0,319.825069,319.825069,
2018-03-14,2018-03-02,0,216.928368,216.928368,
2017-05-18,2017-05-10,1,436.046736,517.225417,2018-07-28
2017-12-20,2017-12-11,0,300.868796,300.868796,
2018-02-19,2018-02-13,0,240.137812,240.137812,
2017-09-14,2017-08-15,0,397.915544,397.915544,
2018-03-05,2018-01-26,0,225.730428,225.730428,
2018-01-18,2018-01-04,0,271.798866,271.798866,
2017-10-10,2017-10-05,0,371.939086,371.939086,
2017-10-03,2017-09-16,0,379.042477,379.042477,
2017-07-21,2017-07-15,0,452.77397,452.77397,
2018-03-07,2018-02-28,0,223.882662,223.882662,
2017-09-04,2017-08-21,0,407.889363,407.889363,
2017-07-21,2017-07-14,0,452.985046,452.985046,
2017-05-18,2017-05-10,0,517.111354,517.111354,
2018-04-13,2018-04-03,0,187.140069,187.140069,
2017-02-09,2017-01-21,0,615.223194,615.223194,
2018-02-07,2018-01-13,0,252.679352,252.679352,
2018-04-06,2018-03-10,0,193.890706,193.890706,
2018-04-14,2018-04-10,0,186.068125,186.068125,
2018-03-08,2018-02-22,0,222.99037,222.99037,
2017-12-03,2017-11-27,1,96.250567,318.174803,2018-03-09
2017-07-12,2017-07-06,0,462.192616,462.192616,
2017-10-20,2017-10-07,0,361.962824,361.962824,
2017-12-02,2017-11-12,0,319.07441,319.07441,
2017-07-28,2017-07-25,0,446.105035,446.105035,
2017-06-21,2017-06-08,0,483.060324,483.060324,
2017-06-19,2017-06-05,0,485.134329,485.134329,
2017-03-10,2017-03-05,0,586.265451,586.265451,
2017-08-07,2017-07-25,0,435.891343,435.891343,
2017-08-31,2017-08-20,0,411.960093,411.960093,
2018-01-24,2018-01-15,0,266.181238,266.181238,
2018-02-19,2018-01-31,0,239.910405,239.910405,
2017-12-07,2017-12-01,0,313.817361,313.817361,
2018-03-22,2018-02-22,0,209.049896,209.049896,
2018-01-09,2017-12-14,0,281.723669,281.723669,
2018-03-31,2018-03-21,0,199.917778,199.917778,
2017-06-28,2017-06-27,0,476.165637,476.165637,
2017-10-24,2017-10-13,0,358.081875,358.081875,
2017-10-19,2017-09-27,0,362.900023,362.900023,
2018-01-11,2018-01-08,0,279.042616,279.042616,
2017-05-25,2017-05-21,0,510.336829,510.336829,
2017-10-17,2017-09-27,0,364.921215,364.921215,
2017-09-18,2017-09-06,0,393.907986,393.907986,
2017-11-22,2017-11-16,0,329.693704,329.693704,
2017-08-10,2017-08-02,0,432.912975,432.912975,
2017-03-03,2017-02-10,0,593.059502,593.059502,
2017-08-07,2017-07-27,0,436.059664,436.059664,
2017-07-07,2017-07-02,0,467.001262,467.001262,
2017-04-19,2017-04-13,0,546.236042,546.236042,
2017-08-03,2017-07-23,0,439.905312,439.905312,
2017-06-12,2017-06-04,0,492.142812,492.142812,
2018-01-25,2018-01-22,0,264.738472,264.738472,
2018-03-27,2018-03-17,0,204.658403,204.658403,
2017-06-08,2017-05-25,0,496.087917,496.087917,
2017-10-25,2017-10-22,0,357.057118,357.057118,
2018-03-24,2018-03-19,0,207.702581,207.702581,
2017-12-05,2017-11-26,0,316.10206,316.10206,
2017-04-04,2017-03-30,0,561.161412,561.161412,
2017-12-01,2017-11-22,0,319.865116,319.865116,
2017-11-30,2017-11-23,0,320.859907,320.859907,
2018-04-13,2018-03-29,0,186.77191,186.77191,
2018-04-18,2018-04-05,0,182.012326,182.012326,
2018-01-11,2018-01-02,0,279.68338,279.68338,
2017-12-11,2017-11-24,0,309.898102,309.898102,
